[13/52] resolvedRunIvyDeps | Downloading [1/1] artifacts (~0/0 bytes)
[13/52] resolvedRunIvyDeps | Downloading [2/2] artifacts (~0/0 bytes)
[13/52] resolvedRunIvyDeps | Downloading [2/2] artifacts (~0/1598 bytes)
[13/52] resolvedRunIvyDeps | Downloading [2/2] artifacts (~0/3625 bytes)
[13/52] resolvedRunIvyDeps | Downloading [2/2] artifacts (~1379/3625 bytes)
[13/52] resolvedRunIvyDeps | Downloading [2/2] artifacts (~2758/3625 bytes)
[13/52] resolvedRunIvyDeps | Downloading [2/2] artifacts (~2977/3625 bytes)
[13/52] resolvedRunIvyDeps | Downloading [2/2] artifacts (~3625/3625 bytes)
[13/52] resolvedRunIvyDeps | Downloading [2/2] artifacts (~3625/3625 bytes)
[13/52] resolvedRunIvyDeps | Downloading [2/2] artifacts (~3625/3625 bytes)
[13/52] resolvedRunIvyDeps | Downloading [3/3] artifacts (~3625/3625 bytes)
[13/52] resolvedRunIvyDeps | Downloading [3/3] artifacts (~3625/6153 bytes)
[13/52] resolvedRunIvyDeps | Downloading [3/3] artifacts (~5004/6153 bytes)
[13/52] resolvedRunIvyDeps | Downloading [3/3] artifacts (~6153/6153 bytes)
[13/52] resolvedRunIvyDeps | Downloading [3/3] artifacts (~6153/6153 bytes)
[13/52] resolvedRunIvyDeps | Downloading [4/4] artifacts (~6153/6153 bytes)
[13/52] resolvedRunIvyDeps | Downloading [5/5] artifacts (~6153/6153 bytes)
[13/52] resolvedRunIvyDeps | Downloading [6/6] artifacts (~6153/6153 bytes)
[13/52] resolvedRunIvyDeps | Downloading [6/6] artifacts (~6153/7985 bytes)
[13/52] resolvedRunIvyDeps | Downloading [6/6] artifacts (~7532/7985 bytes)
[13/52] resolvedRunIvyDeps | Downloading [6/6] artifacts (~7985/7985 bytes)
[13/52] resolvedRunIvyDeps | Downloading [6/6] artifacts (~7985/7985 bytes)
[13/52] resolvedRunIvyDeps | Downloading [6/6] artifacts (~7985/25691 bytes)
[13/52] resolvedRunIvyDeps | Downloading [6/6] artifacts (~9364/25691 bytes)
[13/52] resolvedRunIvyDeps | Downloading [6/6] artifacts (~10743/25691 bytes)
[13/52] resolvedRunIvyDeps | Downloading [6/6] artifacts (~10743/27721 bytes)
[13/52] resolvedRunIvyDeps | Downloading [6/6] artifacts (~12122/27721 bytes)
[13/52] resolvedRunIvyDeps | Downloading [6/6] artifacts (~13501/27721 bytes)
[13/52] resolvedRunIvyDeps | Downloading [6/6] artifacts (~14880/27721 bytes)
[13/52] resolvedRunIvyDeps | Downloading [6/6] artifacts (~16259/27721 bytes)
[13/52] resolvedRunIvyDeps | Downloading [6/6] artifacts (~16910/27721 bytes)
[13/52] resolvedRunIvyDeps | Downloading [6/6] artifacts (~18289/27721 bytes)
[13/52] resolvedRunIvyDeps | Downloading [6/6] artifacts (~19668/27721 bytes)
[13/52] resolvedRunIvyDeps | Downloading [6/6] artifacts (~19668/27721 bytes)
[13/52] resolvedRunIvyDeps | Downloading [6/6] artifacts (~21047/27721 bytes)
[13/52] resolvedRunIvyDeps | Downloading [6/6] artifacts (~22426/27721 bytes)
[13/52] resolvedRunIvyDeps | Downloading [6/6] artifacts (~23805/27721 bytes)
[13/52] resolvedRunIvyDeps | Downloading [6/6] artifacts (~25184/27721 bytes)
[13/52] resolvedRunIvyDeps | Downloading [6/6] artifacts (~26563/27721 bytes)
[13/52] resolvedRunIvyDeps | Downloading [6/6] artifacts (~27721/27721 bytes)
[13/52] resolvedRunIvyDeps | Downloading [6/6] artifacts (~27721/27721 bytes)
[13/52] resolvedRunIvyDeps | Downloading [7/7] artifacts (~27721/27721 bytes)
[13/52] resolvedRunIvyDeps | Downloading [7/7] artifacts (~27721/55374 bytes)
[13/52] resolvedRunIvyDeps | Downloading [7/7] artifacts (~29100/55374 bytes)
[13/52] resolvedRunIvyDeps | Downloading [7/7] artifacts (~30479/55374 bytes)
[13/52] resolvedRunIvyDeps | Downloading [7/7] artifacts (~31858/55374 bytes)
[13/52] resolvedRunIvyDeps | Downloading [7/7] artifacts (~33237/55374 bytes)
[13/52] resolvedRunIvyDeps | Downloading [7/7] artifacts (~34616/55374 bytes)
[13/52] resolvedRunIvyDeps | Downloading [7/7] artifacts (~35995/55374 bytes)
[13/52] resolvedRunIvyDeps | Downloading [7/7] artifacts (~37374/55374 bytes)
[13/52] resolvedRunIvyDeps | Downloading [7/7] artifacts (~38753/55374 bytes)
[13/52] resolvedRunIvyDeps | Downloading [7/7] artifacts (~40132/55374 bytes)
[13/52] resolvedRunIvyDeps | Downloading [7/7] artifacts (~41511/55374 bytes)
[13/52] resolvedRunIvyDeps | Downloading [7/7] artifacts (~42890/55374 bytes)
[13/52] resolvedRunIvyDeps | Downloading [7/7] artifacts (~44105/55374 bytes)
[13/52] resolvedRunIvyDeps | Downloading [7/7] artifacts (~45484/55374 bytes)
[13/52] resolvedRunIvyDeps | Downloading [7/7] artifacts (~46863/55374 bytes)
[13/52] resolvedRunIvyDeps | Downloading [7/7] artifacts (~48242/55374 bytes)
[13/52] resolvedRunIvyDeps | Downloading [7/7] artifacts (~49621/55374 bytes)
[13/52] resolvedRunIvyDeps | Downloading [7/7] artifacts (~51000/55374 bytes)
[13/52] resolvedRunIvyDeps | Downloading [7/7] artifacts (~52379/55374 bytes)
[13/52] resolvedRunIvyDeps | Downloading [7/7] artifacts (~53758/55374 bytes)
[13/52] resolvedRunIvyDeps | Downloading [7/7] artifacts (~55137/55374 bytes)
[13/52] resolvedRunIvyDeps | Downloading [7/7] artifacts (~55374/55374 bytes)
[13/52] resolvedRunIvyDeps | Downloading [7/7] artifacts (~55374/55374 bytes)
